Bus_Number;Bus_Type;PD_MW;QD_MVar;GS_MW;BS_MVar;BusArea;Vm;Va;BaseKV;LossZone;Vmax;Vmin;LAM_P;LAM_Q;MU_VMAX;MU_VMIN;Bus_Name;gis_x;gis_y
785;1;0.0;0.0;0.0;0.0;2;1;0;16.8;1;1.5;0.5;0;0;0;0;04019H;6.807.163.110.839.380;22.744.140.581.219.200
786;1;0.0;0.0;0.0;0.0;2;1;0;16.8;1;1.5;0.5;0;0;0;0;K669;6.807.163.110.839.380;22.744.140.581.219.200
787;1;0.0;0.0;0.0;0.0;2;1;0;16.8;1;1.5;0.5;0;0;0;0;04002H;6.807.163.110.839.380;22.744.140.581.219.200
788;1;0.131925;0.05214;0.0;0.0;7;1;0;0.42;1;1.5;0.5;0;0;0;0;04004N;6.774.874.396.202.880;22.679.963.823.891.800
789;1;0.0;0.0;0.0;0.0;2;1;0;16.8;1;1.5;0.5;0;0;0;0;04014H;6.787.446.720.321.810;22.680.365.514.029.100
790;1;0.065624;0.025936;0.0;0.0;7;1;0;0.42;1;1.5;0.5;0;0;0;0;03006N;6.845.817.387.715.160;22.416.079.088.811.500
791;1;0.0;0.0;0.0;0.0;2;1;0;16.8;1;1.5;0.5;0;0;0;0;04017H;6.807.163.110.839.380;22.744.140.581.219.200
792;1;0.0;0.0;0.0;0.0;1;1;0;16.8;1;1.5;0.5;0;0;0;0;K666;6.817.122.345.604.610;22.756.072.531.346.000
793;1;0.0;0.0;0.0;0.0;1;1;0;16.8;1;1.5;0.5;0;0;0;0;K664;6.817.122.345.604.610;22.756.072.531.346.000
794;1;0.079832;0.031550999999999996;0.0;0.0;7;1;0;0.42;1;1.5;0.5;0;0;0;0;05006N;6.812.561.257.818.070;22.842.156.606.169.200
795;1;0.0;0.0;0.0;0.0;4;1;0;16.8;1;1.5;0.5;0;0;0;0;05006H;6.812.561.257.818.070;22.842.156.606.169.200
796;1;0.0;0.0;0.0;0.0;4;1;0;16.8;1;1.5;0.5;0;0;0;0;K117;6.812.561.257.818.070;22.842.156.606.169.200
797;1;0.0;0.0;0.0;0.0;4;1;0;16.8;1;1.5;0.5;0;0;0;0;05020H;6.812.999.868.834.050;2.259.581.205.702.630
798;1;0.008795;0.003476;0.0;0.0;7;1;0;0.42;1;1.5;0.5;0;0;0;0;05019N;6.812.561.257.818.070;22.842.156.606.169.200
799;1;0.0;0.0;0.0;0.0;4;1;0;16.8;1;1.5;0.5;0;0;0;0;05019H;6.812.561.257.818.070;22.842.156.606.169.200
800;1;0.0;0.0;0.0;0.0;4;1;0;16.8;1;1.5;0.5;0;0;0;0;K113;6.812.561.257.818.070;22.842.156.606.169.200
801;1;0.0;0.0;0.0;0.0;4;1;0;16.8;1;1.5;0.5;0;0;0;0;K111;6.812.561.257.818.070;22.842.156.606.169.200
802;1;0.0;0.0;0.0;0.0;4;1;0;16.8;1;1.5;0.5;0;0;0;0;05014H;6.812.561.257.818.070;22.842.156.606.169.200
803;1;0.0;0.0;0.0;0.0;4;1;0;16.8;1;1.5;0.5;0;0;0;0;K107;6.812.561.257.818.070;22.842.156.606.169.200
804;1;0.0;0.0;0.0;0.0;8;1;0;16.8;1;1.5;0.5;0;0;0;0;00460H-130;6.815.374.695.770.420;2.272.615.171.598.220
805;1;0.0;0.0;0.0;0.0;4;1;0;16.8;1;1.5;0.5;0;0;0;0;K301;6.817.122.345.604.610;22.756.072.531.346.000
806;1;0.0;0.0;0.0;0.0;4;1;0;16.8;1;1.5;0.5;0;0;0;0;K73;6.807.163.110.839.380;22.744.140.581.219.200
807;1;0.0;0.0;0.0;0.0;3;1;0;16.8;1;1.5;0.5;0;0;0;0;00010H3.T1;6.807.163.110.839.380;22.744.140.581.219.200
808;1;0.0;0.0;0.0;0.0;3;1;0;0.42;1;1.5;0.5;0;0;0;0;00195H3;6.815.458.234.933.350;22.969.674.400.477.100
809;1;0.0;0.0;0.0;0.0;9;1;0;0.52;1;1.5;0.5;0;0;0;0;00100N-1;68.323.657.254.209;22.774.701.154.243.000
810;1;0.0;0.0;0.0;0.0;3;1;0;16.8;1;1.5;0.5;0;0;0;0;4096;6.769.366.362.863.460;22.774.308.882.629.100
811;1;0.0;0.0;0.0;0.0;6;1;0;16.8;1;1.5;0.5;0;0;0;0;01068H.80;6.769.366.362.863.460;22.774.308.882.629.100
812;1;0.0;0.0;0.0;0.0;6;1;0;16.8;1;1.5;0.5;0;0;0;0;01068H.140;6.769.366.362.863.460;22.774.308.882.629.100
813;1;0.0;0.0;0.0;0.0;6;1;0;16.8;1;1.5;0.5;0;0;0;0;01068H.90;6.769.366.362.863.460;22.774.308.882.629.100
814;1;0.0;0.0;0.0;0.0;5;1;0;16.8;1;1.5;0.5;0;0;0;0;01068H.160;6.769.366.362.863.460;22.774.308.882.629.100
